1,Phillip,Kelly,pkelly0@cafepress.com,ywQ,Rand,31.4699,-28.88648,45,75,60
2,Catherine,Patterson,cpatterson1@biglobe.ne.jp,CbR,Dollar,-88.5,13.38333,10,12,95
3,Chris,Hamilton,chamilton2@cocolog-nifty.com,vTJ,Euro,-5.6639,40.9688,84,35,51
4,Antonio,Fernandez,afernandez3@cargocollective.com,UBu,Yuan Renminbi,114.01556,37.99806,85,83,60
5,Carl,Foster,cfoster4@dagondesign.com,JFY,Rupiah,108.8729,-7.2557,59,72,41
6,Andrea,Griffin,agriffin5@admin.ch,dWn,Zloty,15.59492,51.74558,6,94,26
7,Shawn,Ramos,sramos6@mlb.com,fLF,Yuan Renminbi,106.09342,29.77161,60,99,79
8,John,Cole,jcole7@msu.edu,Ugb,Bolivar,-66.98632,10.34985,84,7,3
9,Matthew,Sims,msims8@acquirethisname.com,hPZ,Real,-49.14861,-13.44083,33,39,20
10,Howard,Carter,hcarter9@blogtalkradio.com,vFU,Peso,-99.3842,24.2908,95,88,13
11,Beverly,Reynolds,breynoldsa@reverbnation.com,ywY,Rupiah,105.8312,-6.3731,34,98,82
12,Jack,Myers,jmyersb@yahoo.co.jp,bYP,Peso,-96.9737,19.4972,63,77,16
13,Kimberly,Campbell,kcampbellc@taobao.com,fFz,Ruble,39.73835,55.71927,97,28,7
14,Amanda,Mccoy,amccoyd@1688.com,SqL,Manat,48.929,39.93778,52,82,74
15,Bobby,Coleman,bcolemane@reverbnation.com,ZHj,Tugrik,91.63333,47.51667,40,67,54
16,Terry,Matthews,tmatthewsf@smugmug.com,pJP,Rupiah,106.3989,-6.8707,6,53,70
17,Jerry,Garza,jgarzag@alibaba.com,SOT,Dram,44.50889,40.97083,96,93,45
18,Margaret,Peterson,mpetersonh@redcross.org,lAC,Sol,-76.5911,-7.05614,93,14,65
19,Edward,Howard,ehowardi@wordpress.com,tgn,Shekel,34.97192,31.53537,91,22,29
20,Kathryn,Gardner,kgardnerj@ebay.com,IMB,Peso,123.4734,10.9171,39,62,80
21,Lisa,Williams,lwilliamsk@ed.gov,ZIa,Euro,0.6833,47.3833,16,52,50
22,Anna,Harrison,aharrisonl@engadget.com,HBz,Shilling,33.70944,1.145,39,95,73
23,Jonathan,Taylor,jtaylorm@ustream.tv,kjz,Peso,-76.95399,20.2733,19,94,79
24,Jose,Cruz,jcruzn@marketwatch.com,Eur,Rupiah,123.8128,-8.2235,21,86,85
25,Ruth,Holmes,rholmeso@marriott.com,aJR,Hryvnia,26.86506,50.30155,89,4,86
26,Brandon,Bowman,bbowmanp@businessweek.com,XKM,Rupiah,107.3391,-7.3705,87,56,55
27,Carlos,Bailey,cbaileyq@icio.us,HXa,Rupiah,113.7136,-7.0609,41,36,40
28,Denise,Washington,dwashingtonr@marketwatch.com,eYI,Krona,11.9668,57.7072,89,77,47
29,Joshua,Johnston,jjohnstons@whitehouse.gov,Erk,Zloty,15.07127,52.68897,53,10,9
30,Stephanie,Porter,sportert@surveymonkey.com,sYM,Franc,13.10921,14.24953,3,59,38
31,Jeremy,Anderson,jandersonu@patch.com,qYV,Yuan Renminbi,120.26621,40.23476,36,32,94
32,Kimberly,Bishop,kbishopv@wix.com,RGY,Yen,130.95,33.95,23,75,1
33,Alice,King,akingw@smh.com.au,eyR,Yuan Renminbi,113.78143,29.22008,74,89,56
34,Donna,Anderson,dandersonx@earthlink.net,ecQ,Franc,9.70428,4.04827,63,5,16
35,Maria,Kim,mkimy@webs.com,bTn,Real,-69.87361,-6.66028,60,83,25
36,Andrew,Knight,aknightz@tamu.edu,qsJ,Yuan Renminbi,114.92255,24.10274,99,10,14
37,Johnny,Patterson,jpatterson10@salon.com,Kgo,Zloty,19.15123,51.71826,19,73,88
38,Samuel,Bishop,sbishop11@newyorker.com,nze,Peso,-58.5521,-24.98132,51,49,93
39,Terry,Cox,tcox12@sphinn.com,EiW,Bolivar,-66.00734,9.21554,49,20,26
40,Judith,Gutierrez,jgutierrez13@imdb.com,qxF,Peso,-92.2121,16.2844,99,76,97
41,Helen,Holmes,hholmes14@ted.com,YHP,Yuan Renminbi,110.85944,39.6475,20,62,63
42,Roger,Crawford,rcrawford15@ucoz.com,LDc,Yuan Renminbi,104.7409,23.12622,74,9,54
43,Deborah,Gutierrez,dgutierrez16@newsvine.com,epY,Dollar,-73.8778,22.54352,88,60,82
44,Sandra,Diaz,sdiaz17@dell.com,TAj,Dollar,-87.6483,41.9229,84,37,42
45,Cynthia,Smith,csmith18@t-online.de,UoC,Peso,120.8867,16.3592,86,76,88
46,Elizabeth,Nichols,enichols19@shinystat.com,Umr,Krona,15.9237,60.065,98,86,81
47,Timothy,Harrison,tharrison1a@fema.gov,RQi,Peso,121.8963,11.7612,18,76,4
48,Douglas,Welch,dwelch1b@cocolog-nifty.com,VdU,Dollar,-122.95263,49.26636,71,47,35
49,Annie,Lawrence,alawrence1c@xrea.com,ERr,Yuan Renminbi,117.38254,23.95008,66,16,30
50,Harry,Robinson,hrobinson1d@wp.com,VIe,Yuan Renminbi,122.19794,30.29526,43,60,100
51,Richard,Cunningham,rcunningham1e@free.fr,iqC,Yuan Renminbi,114.75817,38.10305,76,52,84
52,Samuel,Cook,scook1f@flavors.me,LuN,Yuan Renminbi,89.9,29.26667,4,53,43
53,Martha,Willis,mwillis1g@goo.gl,kXR,Real,-53.05722,-25.73361,35,62,38
54,Daniel,Franklin,dfranklin1h@omniture.com,dQW,Naira,11.0482,12.871,2,21,87
55,Ernest,Wagner,ewagner1i@tumblr.com,PTM,Yuan Renminbi,114.91613,30.71361,17,70,97
56,Mark,Wheeler,mwheeler1j@naver.com,aIf,Quetzal,-91.15139,15.09444,60,100,86
57,Laura,Burns,lburns1k@infoseek.co.jp,sNS,Pound,31.18368,27.18096,6,56,86
58,Antonio,Porter,aporter1l@sina.com.cn,NzI,Euro,2.4827,48.8544,38,78,59
59,Christopher,Welch,cwelch1m@hhs.gov,MiU,Krona,14.2667,57.8,42,16,34
60,Heather,Lopez,hlopez1n@businessinsider.com,TOb,Yuan Renminbi,115.77528,36.11056,67,36,5
61,Samuel,Watson,swatson1o@privacy.gov.au,vXm,Baht,100.53358,13.759,26,35,85
62,Clarence,Ward,cward1p@unicef.org,MjQ,Dirham,-5.57738,32.68011,71,90,29
63,Mark,Dunn,mdunn1q@netscape.com,lnP,Real,-48.14167,-0.85833,19,17,92
64,Ashley,Meyer,ameyer1r@123-reg.co.uk,njC,Euro,-9.2333,38.7,71,24,87
65,Julia,Cunningham,jcunningham1s@nps.gov,xvm,Euro,-8.8833,38.5667,84,31,95
66,Diana,Williamson,dwilliamson1t@symantec.com,dcZ,Peso,121.68028,17.72256,3,3,92
67,Julia,Fox,jfox1u@webmd.com,HAp,Rupee,69.39654,25.28147,80,75,95
68,Robin,White,rwhite1v@joomla.org,OSI,Dram,44.39067,40.10121,67,99,68
69,Marilyn,Mitchell,mmitchell1w@hugedomains.com,mUf,Peso,120.51528,16.17389,86,48,5
70,Cheryl,Oliver,coliver1x@plala.or.jp,GOT,Dollar,-79.4163,43.76681,60,7,12
71,Ronald,Patterson,rpatterson1y@apache.org,UjA,Yuan Renminbi,101.9622,35.40804,48,98,32
72,Juan,Holmes,jholmes1z@sohu.com,eQl,Yuan Renminbi,90.08237,29.29059,54,4,37
73,Victor,Morales,vmorales20@webs.com,IuE,Dinar,8.83651,35.16758,57,62,97
74,Alice,Hicks,ahicks21@hud.gov,AEj,Peso,-65.5663,-25.46642,94,12,78
75,Jesse,Crawford,jcrawford22@biblegateway.com,YBR,Baht,101.82075,14.8992,78,75,100
76,Virginia,Ross,vross23@flavors.me,wWk,Sol,-71.47278,-14.12,21,43,90
77,Heather,Crawford,hcrawford24@purevolume.com,kEQ,Rupee,70.59544,29.64414,64,53,37
78,Shirley,Henry,shenry25@meetup.com,EDZ,Yen,141.90556,43.48639,35,91,2
79,Philip,Hart,phart26@yellowpages.com,tkX,Yuan Renminbi,129.75015,46.6493,51,54,42
80,Timothy,Carpenter,tcarpenter27@printfriendly.com,vyk,Krona,11.9294,57.6467,32,39,44
81,Keith,Johnson,kjohnson28@accuweather.com,mrK,Cordoba,-86.21575,11.85621,74,76,85
82,William,Lee,wlee29@qq.com,Rbp,Yuan Renminbi,104.0392,35.06718,91,97,3
83,Theresa,Gomez,tgomez2a@dmoz.org,uwq,Krona,13.3039,55.8393,47,95,76
84,Catherine,Webb,cwebb2b@aboutads.info,lWg,Franc,8.5234,47.378,13,19,72
85,Harold,Hunt,hhunt2c@baidu.com,dYb,Zloty,14.47251,53.37447,51,23,12
86,Frank,Weaver,fweaver2d@google.es,Lcn,Peso,120.9464,15.3072,7,29,2
87,Jeffrey,Chavez,jchavez2e@answers.com,xEZ,Somoni,68.81952,37.5582,11,90,78
88,Katherine,Gray,kgray2f@mayoclinic.com,cOx,Lek,20.47,41.33722,12,41,44
89,Stephanie,Nichols,snichols2g@businessinsider.com,lGf,Yuan Renminbi,118.40753,27.48073,79,5,94
90,Beverly,Reynolds,breynolds2h@123-reg.co.uk,hpI,Rupiah,99.1625,3.3285,69,2,99
91,Laura,Wilson,lwilson2i@last.fm,rAH,Pound,32.9891,14.2459,27,56,98
92,Wanda,Lee,wlee2j@elpais.com,ubk,Litas,22.36444,55.74056,94,63,11
93,Amanda,Ortiz,aortiz2k@google.com.br,svW,Ruble,27.2958,54.4167,58,53,27
94,Janice,Anderson,janderson2l@comsenz.com,Epw,Koruna,12.27238,50.15634,74,72,71
95,Terry,Spencer,tspencer2m@miibeian.gov.cn,UjW,Yuan Renminbi,100.22072,26.86879,14,51,24
96,Jimmy,Graham,jgraham2n@wired.com,Vjb,Euro,11.2463,43.7793,38,46,70
97,Paul,Green,pgreen2o@joomla.org,eOb,Rial,45.3923,13.81436,76,46,74
98,Gerald,Mccoy,gmccoy2p@last.fm,XoB,Hryvnia,37.38373,50.0617,100,50,52
99,Albert,Carroll,acarroll2q@paypal.com,ncd,Ruble,43.8135,57.12818,57,96,22
100,Jose,Johnston,jjohnston2r@berkeley.edu,SsP,Pound,35.43333,33.11944,3,19,32
101,Scott,Alvarez,salvarez2s@ucsd.edu,PzU,Real,-46.76444,-22.70111,1,98,69
102,Judy,Alvarez,jalvarez2t@pagesperso-orange.fr,vRD,Yuan Renminbi,121.56134,32.01546,39,78,30
103,Marie,Hernandez,mhernandez2u@wikispaces.com,RiQ,Peso,122.9053,9.2207,66,19,30
104,Roy,Murphy,rmurphy2v@liveinternet.ru,DWp,Euro,-7.59833,54.87472,72,40,72
